Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Age_group,Deck,Title,FamilySize,IsAlone
1,T,1,19.0,0,0,7.8792,Q,Young Adult,U,Miss,1,1
0,T,0,28.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,T,0,28.0,1,0,15.5,Q,Young Adult,U,Mr,2,0
1,T,1,28.0,0,0,7.75,Q,Young Adult,U,Miss,1,1
0,T,0,28.0,2,0,21.6792,C,Young Adult,U,Mr,3,0
0,T,1,18.0,1,0,17.8,S,Teenager,U,Mrs,2,0
0,T,0,7.0,4,1,39.6875,S,Child,U,Master,6,0
0,T,0,21.0,0,0,7.8,S,Young Adult,U,Mr,1,1
1,F,1,49.0,1,0,76.7292,C,Adult,D,Mrs,2,0
1,S,1,29.0,1,0,26.0,S,Young Adult,U,Mrs,2,0
0,F,0,54.0,0,1,61.9792,C,Elderly,B,Mr,2,0
1,F,0,28.0,0,0,35.5,S,Young Adult,C,Mr,1,1
1,S,1,21.0,0,0,10.5,S,Young Adult,U,Miss,1,1
0,T,0,28.5,0,0,7.2292,C,Young Adult,U,Mr,1,1
1,S,1,5.0,1,2,27.75,S,Child,U,Miss,4,0
0,T,0,11.0,5,2,46.9,S,Child,U,Master,8,0
0,T,0,22.0,0,0,7.2292,C,Young Adult,U,Mr,1,1
1,F,1,38.0,0,0,80.0,S,Adult,B,Miss,1,1
0,F,0,45.0,1,0,83.475,S,Adult,C,Mr,2,0
0,T,0,4.0,3,2,27.9,S,Child,U,Master,6,0
0,F,0,28.0,0,0,27.7208,C,Young Adult,U,Mr,1,1
1,T,0,28.0,1,1,15.2458,C,Young Adult,U,Master,3,0
1,S,1,29.0,0,0,10.5,S,Young Adult,F,Mrs,1,1
0,T,0,19.0,0,0,8.1583,S,Young Adult,U,Mr,1,1
1,T,1,17.0,4,2,7.925,S,Teenager,U,Miss,7,0
0,T,0,26.0,2,0,8.6625,S,Young Adult,U,Mr,3,0
0,S,0,32.0,0,0,10.5,S,Young Adult,U,Mr,1,1
0,T,1,16.0,5,2,46.9,S,Teenager,U,Miss,8,0
0,S,0,21.0,0,0,73.5,S,Young Adult,U,Mr,1,1
0,T,0,26.0,1,0,14.4542,C,Young Adult,U,Mr,2,0
1,T,0,32.0,0,0,56.4958,S,Young Adult,U,Mr,1,1
0,T,0,25.0,0,0,7.65,S,Young Adult,F,Mr,1,1
0,T,0,28.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
0,T,0,28.0,0,0,8.05,S,Young Adult,U,Mr,1,1
1,S,0,0.83,0,2,29.0,S,Child,U,Master,3,0
1,T,1,30.0,0,0,12.475,S,Young Adult,U,Miss,1,1
0,T,0,22.0,0,0,9.0,S,Young Adult,U,Mr,1,1
1,T,0,29.0,0,0,9.5,S,Young Adult,U,Mr,1,1
1,T,1,28.0,0,0,7.7875,Q,Young Adult,U,Miss,1,1
0,F,0,28.0,0,0,47.1,S,Young Adult,U,Mr,1,1
1,S,1,17.0,0,0,10.5,S,Teenager,U,Miss,1,1
1,T,1,33.0,3,0,15.85,S,Young Adult,U,Mrs,4,0
0,T,0,16.0,1,3,34.375,S,Teenager,U,Mr,5,0
0,T,0,28.0,0,0,8.05,S,Young Adult,U,Mr,1,1
1,F,1,23.0,3,2,112.07915,S,Young Adult,C,Miss,6,0
0,T,0,24.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,T,0,29.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,T,0,20.0,0,0,7.8542,S,Young Adult,U,Mr,1,1
0,F,0,46.0,1,0,61.175,S,Adult,E,Mr,2,0
0,T,0,26.0,1,2,20.575,S,Young Adult,U,Mr,4,0
0,T,0,54.0,0,0,7.25,S,Adult,U,Mr,1,1
0,T,0,28.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,F,0,54.0,0,0,34.6542,C,Elderly,A,Mr,1,1
1,F,0,23.0,0,1,63.3583,C,Young Adult,D,Mr,2,0
1,S,1,34.0,0,1,23.0,S,Young Adult,U,Mrs,2,0
0,S,0,34.0,1,0,26.0,S,Young Adult,U,Mr,2,0
0,T,1,28.0,0,0,7.8958,S,Young Adult,U,Miss,1,1
0,T,0,28.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
0,F,0,21.0,0,1,77.2875,S,Young Adult,D,Mr,2,0
0,T,0,33.0,0,0,8.6542,S,Young Adult,U,Mr,1,1
0,T,0,37.0,2,0,7.925,S,Adult,U,Mr,3,0
0,T,0,28.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
1,T,1,21.0,0,0,7.65,S,Young Adult,U,Miss,1,1
1,T,0,28.0,0,0,7.775,S,Young Adult,U,Mr,1,1
0,T,0,38.0,0,0,7.8958,S,Adult,U,Mr,1,1
1,T,1,28.0,1,0,24.15,Q,Young Adult,U,Miss,2,0
0,F,0,47.0,0,0,52.0,S,Adult,C,Mr,1,1
0,T,1,14.5,1,0,14.4542,C,Teenager,U,Miss,2,0
0,T,0,22.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,T,1,20.0,1,0,9.825,S,Young Adult,U,Miss,2,0
0,T,1,17.0,0,0,14.4583,C,Teenager,U,Miss,1,1
0,T,0,21.0,0,0,7.925,S,Young Adult,U,Mr,1,1
0,T,0,54.0,0,0,7.75,Q,Elderly,U,Mr,1,1
0,S,0,29.0,1,0,21.0,S,Young Adult,U,Mr,2,0
0,F,0,24.0,0,1,112.07915,C,Young Adult,B,Mr,2,0
0,T,1,2.0,4,2,31.275,S,Child,U,Miss,7,0
0,S,0,21.0,2,0,73.5,S,Young Adult,U,Mr,3,0
0,T,0,28.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,S,0,32.5,1,0,30.0708,C,Young Adult,U,Mr,2,0
1,S,1,32.5,0,0,13.0,S,Young Adult,E,Miss,1,1
0,F,0,54.0,0,1,77.2875,S,Adult,D,Mr,2,0
1,T,0,12.0,1,0,11.2417,C,Child,U,Master,2,0
0,T,0,28.0,0,0,7.75,Q,Young Adult,U,Mr,1,1
1,T,0,24.0,0,0,7.1417,S,Young Adult,U,Mr,1,1
1,T,1,28.0,1,1,22.3583,C,Young Adult,F,Miss,3,0
0,T,0,45.0,0,0,6.975,S,Adult,U,Mr,1,1
0,T,0,33.0,0,0,7.8958,C,Young Adult,U,Mr,1,1
0,T,0,20.0,0,0,7.05,S,Young Adult,U,Mr,1,1
0,T,1,47.0,1,0,14.5,S,Adult,U,Mrs,2,0
1,S,1,29.0,1,0,26.0,S,Young Adult,U,Mrs,2,0
0,S,0,25.0,0,0,13.0,S,Young Adult,U,Mr,1,1
0,S,0,23.0,0,0,15.0458,C,Young Adult,U,Mr,1,1
1,F,1,19.0,0,2,26.2833,S,Young Adult,D,Miss,3,0
0,F,0,37.0,1,0,53.1,S,Adult,C,Mr,2,0
0,T,0,16.0,0,0,9.2167,S,Teenager,U,Mr,1,1
0,F,0,24.0,0,0,79.2,C,Young Adult,B,Mr,1,1
0,T,1,28.0,0,2,15.2458,C,Young Adult,U,Mrs,3,0
1,T,1,22.0,0,0,7.75,S,Young Adult,U,Miss,1,1
1,T,1,24.0,1,0,15.85,S,Young Adult,U,Mrs,2,0
0,T,0,19.0,0,0,6.75,Q,Young Adult,U,Mr,1,1
0,S,0,18.0,0,0,11.5,S,Teenager,U,Mr,1,1
0,S,0,19.0,1,1,36.75,S,Young Adult,U,Mr,3,0
1,T,0,27.0,0,0,7.7958,S,Young Adult,U,Mr,1,1
0,T,1,9.0,2,2,34.375,S,Child,U,Miss,5,0
0,S,0,36.5,0,2,26.0,S,Adult,F,Mr,3,0
0,S,0,42.0,0,0,13.0,S,Adult,U,Rev,1,1
0,S,0,51.0,0,0,12.525,S,Adult,U,Rev,1,1
1,F,1,22.0,1,0,66.6,S,Young Adult,C,Mrs,2,0
0,T,0,54.0,0,0,8.05,S,Adult,U,Mr,1,1
0,T,0,40.5,0,2,14.5,S,Adult,U,Mr,3,0
0,T,0,28.0,0,0,7.3125,S,Young Adult,U,Mr,1,1
0,F,0,51.0,0,1,61.3792,C,Adult,U,Mr,2,0
1,T,1,16.0,0,0,7.7333,Q,Teenager,U,Miss,1,1
0,T,0,30.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,T,0,28.0,0,0,8.6625,S,Young Adult,U,Mr,1,1
0,T,0,28.0,8,2,69.55,S,Young Adult,U,Master,11,0
0,T,0,44.0,0,1,16.1,S,Adult,U,Mr,2,0
1,S,1,40.0,0,0,15.75,S,Adult,U,Mrs,1,1
0,T,0,26.0,0,0,7.775,S,Young Adult,U,Mr,1,1
0,T,0,17.0,0,0,8.6625,S,Teenager,U,Mr,1,1
0,T,0,1.0,4,1,39.6875,S,Child,U,Master,6,0
1,T,0,9.0,0,2,20.525,S,Child,U,Master,3,0
1,F,1,28.0,0,1,55.0,S,Young Adult,E,Mrs,2,0
0,T,1,45.0,1,4,27.9,S,Adult,U,Mrs,6,0
0,F,0,28.0,0,0,25.925,S,Young Adult,U,Mr,1,1
0,T,0,28.0,0,0,56.4958,S,Young Adult,U,Mr,1,1
0,F,0,54.0,0,0,33.5,S,Elderly,B,Mr,1,1
0,T,0,4.0,4,1,29.125,Q,Child,U,Master,6,0
1,T,1,1.0,1,1,11.1333,S,Child,U,Miss,3,0
0,T,0,21.0,0,0,7.925,S,Young Adult,U,Mr,1,1
0,F,0,54.0,0,0,30.6958,C,Adult,A,Mr,1,1
0,T,0,18.0,1,1,7.8542,S,Teenager,U,Mr,3,0
0,T,0,28.0,3,1,25.4667,S,Young Adult,U,Master,5,0
0,F,1,50.0,0,0,28.7125,C,Adult,C,Miss,1,1
0,S,0,30.0,0,0,13.0,S,Young Adult,U,Mr,1,1
0,T,0,36.0,0,0,0.0,S,Adult,U,Mr,1,1
0,T,1,28.0,8,2,69.55,S,Young Adult,U,Miss,11,0
0,S,0,28.0,0,0,15.05,C,Young Adult,U,Mr,1,1
0,T,0,9.0,4,2,31.3875,S,Child,U,Master,7,0
1,S,0,1.0,2,1,39.0,S,Child,F,Master,4,0
1,T,1,4.0,0,2,22.025,S,Child,U,Miss,3,0
0,F,0,28.0,0,0,50.0,S,Young Adult,A,Mr,1,1
1,T,1,28.0,1,0,15.5,Q,Young Adult,U,Mrs,2,0
1,F,0,45.0,0,0,26.55,S,Adult,U,Mr,1,1
0,T,0,40.0,1,1,15.5,Q,Adult,U,Mr,3,0
0,T,0,36.0,0,0,7.8958,S,Adult,U,Mr,1,1
1,S,1,32.0,0,0,13.0,S,Young Adult,U,Mrs,1,1
0,S,0,19.0,0,0,13.0,S,Young Adult,U,Mr,1,1
1,T,1,19.0,1,0,7.8542,S,Young Adult,U,Miss,2,0
1,S,0,3.0,1,1,26.0,S,Child,F,Master,3,0
1,F,1,44.0,0,0,27.7208,C,Adult,B,Mrs,1,1
1,F,1,54.0,0,0,112.07915,C,Adult,B,Miss,1,1
0,T,0,28.0,0,0,7.75,Q,Young Adult,U,Mr,1,1
0,T,0,42.0,0,1,8.4042,S,Adult,U,Mr,2,0
1,T,1,28.0,0,0,7.75,Q,Young Adult,U,Miss,1,1
0,S,1,24.0,0,0,13.0,S,Young Adult,U,Miss,1,1
0,T,0,28.0,0,0,9.5,S,Young Adult,U,Mr,1,1
0,T,0,28.0,8,2,69.55,S,Young Adult,U,Mr,11,0
0,T,0,34.0,0,0,6.4958,S,Young Adult,U,Mr,1,1
0,T,0,45.5,0,0,7.225,C,Adult,U,Mr,1,1
1,T,0,18.0,0,0,8.05,S,Teenager,U,Mr,1,1
0,T,1,2.0,0,1,10.4625,S,Child,G,Miss,2,0
0,T,0,32.0,1,0,15.85,S,Young Adult,U,Mr,2,0
1,T,0,26.0,0,0,18.7875,C,Young Adult,U,Mr,1,1
1,T,1,16.0,0,0,7.75,Q,Teenager,U,Miss,1,1
1,F,0,40.0,0,0,31.0,C,Adult,A,Mr,1,1
0,T,0,24.0,0,0,7.05,S,Young Adult,U,Mr,1,1
1,S,1,35.0,0,0,21.0,S,Young Adult,U,Miss,1,1
0,T,0,22.0,0,0,7.25,S,Young Adult,U,Mr,1,1
0,S,0,30.0,0,0,13.0,S,Young Adult,U,Mr,1,1
0,T,0,28.0,1,0,7.75,Q,Young Adult,U,Mr,2,0
1,F,1,31.0,1,0,112.07915,C,Young Adult,D,Miss,2,0
1,T,1,27.0,0,0,7.925,S,Young Adult,U,Miss,1,1
0,S,0,42.0,1,0,27.0,S,Adult,U,Mr,2,0
1,F,1,32.0,0,0,76.2917,C,Young Adult,D,Miss,1,1
0,S,0,30.0,0,0,10.5,S,Young Adult,U,Mr,1,1
1,T,0,16.0,0,0,8.05,S,Teenager,U,Mr,1,1
0,S,0,27.0,0,0,13.0,S,Young Adult,U,Mr,1,1
0,T,0,51.0,0,0,8.05,S,Adult,U,Mr,1,1
0,T,0,28.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
1,F,0,38.0,1,0,90.0,S,Adult,C,Mr,2,0
0,T,0,22.0,0,0,9.35,S,Young Adult,U,Mr,1,1
1,S,0,19.0,0,0,10.5,S,Young Adult,U,Mr,1,1
0,T,0,20.5,0,0,7.25,S,Young Adult,U,Mr,1,1
0,S,0,18.0,0,0,13.0,S,Teenager,U,Mr,1,1
0,T,1,28.0,3,1,25.4667,S,Young Adult,U,Miss,5,0
1,F,1,35.0,1,0,83.475,S,Young Adult,C,Mrs,2,0
0,T,0,29.0,0,0,7.775,S,Young Adult,U,Mr,1,1
0,S,0,54.0,0,0,13.5,S,Adult,U,Mr,1,1
1,T,1,5.0,4,2,31.3875,S,Child,U,Miss,7,0
0,S,0,24.0,0,0,10.5,S,Young Adult,U,Mr,1,1
0,T,1,28.0,0,0,7.55,S,Young Adult,U,Miss,1,1
0,S,0,44.0,1,0,26.0,S,Adult,U,Mr,2,0
1,S,1,8.0,0,2,26.25,S,Child,U,Miss,3,0
0,S,0,19.0,0,0,10.5,S,Young Adult,U,Mr,1,1
0,S,0,33.0,0,0,12.275,S,Young Adult,U,Mr,1,1
0,T,1,28.0,1,0,14.4542,C,Young Adult,U,Miss,2,0
1,T,1,28.0,1,0,15.5,Q,Young Adult,U,Miss,2,0
0,S,0,29.0,0,0,10.5,S,Young Adult,U,Mr,1,1
0,T,0,22.0,0,0,7.125,S,Young Adult,U,Mr,1,1
0,T,0,30.0,0,0,7.225,C,Young Adult,U,Mr,1,1
0,F,0,44.0,2,0,90.0,Q,Adult,C,Dr,3,0
0,T,1,25.0,0,0,7.775,S,Young Adult,U,Miss,1,1
1,S,1,24.0,0,2,14.5,S,Young Adult,U,Mrs,3,0
1,F,0,37.0,1,1,52.5542,S,Adult,D,Mr,3,0
0,S,0,54.0,1,0,26.0,S,Adult,U,Rev,2,0
0,T,0,28.0,0,0,7.25,S,Young Adult,U,Mr,1,1
0,T,1,29.0,1,1,10.4625,S,Young Adult,G,Mrs,3,0
0,F,0,54.0,0,0,26.55,S,Elderly,C,Mr,1,1
0,T,0,30.0,1,0,16.1,S,Young Adult,U,Mr,2,0
0,T,1,41.0,0,2,20.2125,S,Adult,U,Mrs,3,0
1,T,1,29.0,0,2,15.2458,C,Young Adult,U,Mrs,3,0
1,F,1,28.0,0,0,79.2,C,Young Adult,U,Mrs,1,1
1,F,1,30.0,0,0,86.5,S,Young Adult,B,Miss,1,1
1,F,1,35.0,0,0,112.07915,C,Young Adult,U,Miss,1,1
1,S,1,50.0,0,1,26.0,S,Adult,U,Mrs,2,0
0,T,0,28.0,0,0,7.75,Q,Young Adult,U,Mr,1,1
1,T,0,3.0,4,2,31.3875,S,Child,U,Master,7,0
0,F,0,52.0,1,1,79.65,S,Adult,E,Mr,3,0
0,F,0,40.0,0,0,0.0,S,Adult,B,Mr,1,1
0,T,1,28.0,0,0,7.75,Q,Young Adult,U,Miss,1,1
0,S,0,36.0,0,0,10.5,S,Adult,U,Mr,1,1
0,T,0,16.0,4,1,39.6875,S,Teenager,U,Mr,6,0
1,T,0,25.0,1,0,7.775,S,Young Adult,U,Mr,2,0
1,F,1,54.0,0,1,112.07915,S,Adult,C,Mrs,2,0
1,F,1,35.0,0,0,112.07915,S,Young Adult,C,Miss,1,1
0,F,0,28.0,0,0,31.0,S,Young Adult,U,Mr,1,1
1,T,0,25.0,0,0,0.0,S,Young Adult,U,Mr,1,1
1,S,1,41.0,0,1,19.5,S,Adult,U,Mrs,2,0
0,F,0,37.0,0,1,29.7,C,Adult,C,Mr,2,0
1,T,1,28.0,0,0,7.75,Q,Young Adult,U,Miss,1,1
1,F,1,54.0,1,0,77.9583,S,Elderly,D,Miss,2,0
0,T,1,45.0,0,0,7.75,S,Adult,U,Miss,1,1
0,S,0,28.0,0,0,0.0,S,Young Adult,U,Mr,1,1
0,T,0,7.0,4,1,29.125,Q,Child,U,Master,6,0
1,T,1,35.0,1,1,20.25,S,Young Adult,U,Mrs,3,0
0,T,0,54.0,0,0,7.75,Q,Elderly,U,Mr,1,1
0,T,0,28.0,0,0,7.8542,S,Young Adult,U,Mr,1,1
0,T,0,16.0,0,0,9.5,S,Teenager,U,Mr,1,1
1,T,0,19.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,F,0,28.0,0,0,26.0,S,Young Adult,A,Mr,1,1
0,T,0,33.0,0,0,8.6625,C,Young Adult,U,Mr,1,1
1,T,0,30.0,0,0,9.5,S,Young Adult,U,Mr,1,1
0,T,0,22.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
1,S,0,42.0,0,0,13.0,S,Adult,U,Mr,1,1
1,T,1,22.0,0,0,7.75,Q,Young Adult,U,Miss,1,1
1,F,1,26.0,0,0,78.85,S,Young Adult,U,Miss,1,1
1,F,1,19.0,1,0,91.0792,C,Young Adult,B,Mrs,2,0
0,S,0,36.0,0,0,12.875,C,Adult,D,Mr,1,1
0,T,1,24.0,0,0,8.85,S,Young Adult,U,Miss,1,1
0,T,0,24.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
0,F,0,28.0,0,0,27.7208,C,Young Adult,U,Mr,1,1
0,T,0,23.5,0,0,7.2292,C,Young Adult,U,Mr,1,1
0,F,1,2.0,1,2,112.07915,S,Child,C,Miss,4,0
1,F,0,28.0,0,0,30.5,S,Young Adult,C,Mr,1,1
1,F,1,50.0,0,1,112.07915,C,Adult,B,Mrs,2,0
1,T,1,28.0,0,0,7.75,Q,Young Adult,U,Miss,1,1
1,T,0,28.0,2,0,23.25,Q,Young Adult,U,Mr,3,0
0,T,0,19.0,0,0,0.0,S,Young Adult,U,Mr,1,1
1,S,1,28.0,0,0,12.35,Q,Young Adult,E,Miss,1,1
0,T,0,28.0,0,0,8.05,S,Young Adult,U,Mr,1,1
1,F,0,0.92,1,2,112.07915,S,Child,C,Master,4,0
1,F,1,28.0,0,0,110.8833,C,Young Adult,U,Miss,1,1
1,F,1,17.0,1,0,108.9,C,Teenager,C,Mrs,2,0
0,S,0,30.0,1,0,24.0,C,Young Adult,U,Mr,2,0
1,F,1,30.0,0,0,56.9292,C,Young Adult,E,Miss,1,1
1,F,1,24.0,0,0,83.1583,C,Young Adult,C,Miss,1,1
1,F,1,18.0,2,2,112.07915,C,Teenager,B,Miss,5,0
0,S,1,26.0,1,1,26.0,S,Young Adult,U,Mrs,3,0
0,T,0,28.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
0,S,0,43.0,1,1,26.25,S,Adult,U,Mr,3,0
1,T,1,26.0,0,0,7.8542,S,Young Adult,U,Miss,1,1
1,S,1,24.0,1,0,26.0,S,Young Adult,U,Mrs,2,0
0,S,0,54.0,0,0,14.0,S,Adult,U,Dr,1,1
1,F,1,31.0,0,2,112.07915,S,Young Adult,C,Miss,3,0
1,F,1,40.0,1,1,112.07915,C,Adult,E,Mrs,3,0
0,T,0,22.0,0,0,7.25,S,Young Adult,U,Mr,1,1
0,T,0,27.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
1,S,1,30.0,0,0,12.35,Q,Young Adult,U,Miss,1,1
1,S,1,22.0,1,1,29.0,S,Young Adult,U,Mrs,3,0
0,T,0,28.0,8,2,69.55,S,Young Adult,U,Mr,11,0
1,F,1,36.0,0,0,112.07915,C,Adult,C,Miss,1,1
0,T,0,54.0,0,0,6.2375,S,Elderly,U,Mr,1,1
1,S,1,36.0,0,0,13.0,S,Adult,D,Mrs,1,1
1,T,1,31.0,1,1,20.525,S,Young Adult,U,Mrs,3,0
1,F,1,16.0,0,1,57.9792,C,Teenager,B,Miss,2,0
1,T,1,28.0,2,0,23.25,Q,Young Adult,U,Miss,3,0
0,F,0,45.5,0,0,28.5,S,Adult,C,Mr,1,1
0,F,0,38.0,0,1,112.07915,S,Adult,C,Mr,2,0
0,T,0,16.0,2,0,18.0,S,Teenager,U,Mr,3,0
1,F,1,28.0,1,0,112.07915,S,Young Adult,U,Mrs,2,0
0,T,0,28.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
0,F,0,29.0,1,0,66.6,S,Young Adult,C,Mr,2,0
1,F,1,41.0,0,0,112.07915,C,Adult,E,Miss,1,1
1,T,0,45.0,0,0,8.05,S,Adult,U,Mr,1,1
0,F,0,45.0,0,0,35.5,S,Adult,T,Mr,1,1
1,S,0,2.0,1,1,26.0,S,Child,F,Master,3,0
1,F,1,24.0,3,2,112.07915,S,Young Adult,C,Miss,6,0
0,S,0,28.0,0,0,13.0,S,Young Adult,U,Mr,1,1
0,S,0,25.0,0,0,13.0,S,Young Adult,U,Mr,1,1
0,S,0,36.0,0,0,13.0,S,Adult,U,Mr,1,1
1,S,1,24.0,0,0,13.0,S,Young Adult,F,Miss,1,1
1,S,1,40.0,0,0,13.0,S,Adult,U,Miss,1,1
1,T,1,28.0,1,0,16.1,S,Young Adult,U,Mrs,2,0
1,T,0,3.0,1,1,15.9,S,Child,U,Master,3,0
0,T,0,42.0,0,0,8.6625,S,Adult,U,Mr,1,1
0,T,0,23.0,0,0,9.225,S,Young Adult,U,Mr,1,1
0,F,0,28.0,0,0,35.0,S,Young Adult,C,Mr,1,1
0,T,0,15.0,1,1,7.2292,C,Teenager,U,Mr,3,0
0,T,0,25.0,1,0,17.8,S,Young Adult,U,Mr,2,0
0,T,0,28.0,0,0,7.225,C,Young Adult,U,Mr,1,1
0,T,0,28.0,0,0,9.5,S,Young Adult,U,Mr,1,1
1,F,1,22.0,0,1,55.0,S,Young Adult,E,Miss,2,0
0,S,1,38.0,0,0,13.0,S,Adult,U,Miss,1,1
1,T,1,28.0,0,0,7.8792,Q,Young Adult,U,Miss,1,1
1,T,1,28.0,0,0,7.8792,Q,Young Adult,U,Miss,1,1
0,T,0,40.0,1,4,27.9,S,Adult,U,Mr,6,0
0,S,0,29.0,1,0,27.7208,C,Young Adult,U,Mr,2,0
0,T,1,45.0,0,1,14.4542,C,Adult,U,Mrs,2,0
0,T,0,35.0,0,0,7.05,S,Young Adult,U,Mr,1,1
0,T,0,28.0,1,0,15.5,Q,Young Adult,U,Mr,2,0
0,T,0,30.0,0,0,7.25,S,Young Adult,U,Mr,1,1
1,F,1,54.0,1,0,75.25,C,Adult,D,Mrs,2,0
1,T,1,28.0,0,0,7.2292,C,Young Adult,U,Mrs,1,1
1,T,1,28.0,0,0,7.75,Q,Young Adult,U,Miss,1,1
1,F,1,24.0,0,0,69.3,C,Young Adult,B,Mme,1,1
1,F,0,25.0,1,0,55.4417,C,Young Adult,E,Mr,2,0
0,T,0,18.0,1,0,6.4958,S,Teenager,U,Mr,2,0
0,T,0,19.0,0,0,8.05,S,Young Adult,U,Mr,1,1
0,F,0,22.0,0,0,112.07915,C,Young Adult,U,Mr,1,1
0,T,1,3.0,3,1,21.075,S,Child,U,Miss,5,0
1,F,1,28.0,1,0,82.1708,C,Young Adult,U,Mrs,2,0
1,T,1,22.0,0,0,7.25,S,Young Adult,U,Miss,1,1
0,F,0,27.0,0,2,112.07915,C,Young Adult,C,Mr,3,0
0,T,0,20.0,0,0,4.0125,C,Young Adult,U,Mr,1,1
0,T,0,19.0,0,0,7.775,S,Young Adult,U,Mr,1,1
1,F,1,42.0,0,0,112.07915,C,Adult,U,Miss,1,1
1,T,1,1.0,0,2,15.7417,C,Child,U,Miss,3,0
0,T,0,32.0,0,0,7.925,S,Young Adult,U,Mr,1,1
1,F,1,35.0,1,0,52.0,S,Young Adult,U,Mrs,2,0
0,T,0,28.0,0,0,7.8958,S,Young Adult,U,Mr,1,1
0,S,0,18.0,0,0,73.5,S,Teenager,U,Mr,1,1
0,T,0,1.0,5,2,46.9,S,Child,U,Master,8,0
1,S,1,36.0,0,0,13.0,S,Adult,U,Miss,1,1
